id,intents_gold,slots_gold,intents_pred,slots_pred
test_500,BookRestaurant,O O O B-location I-location O O B-location I-location I-location O O O B-restaurant_type,BookRestaurant,O O O B-restaurant_name I-served_dish B-location B-location I-location I-location O O B-cuisine I-location
test_499,SearchScreeningEvent,O O B-movie_type O B-location I-location O,SearchScreeningEvent,O O O O B-datetime I-location
test_498,BookRestaurant,O O O B-party_size_number O O B-sort B-restaurant_type B-location B-location I-location B-datetime I-datetime I-datetime I-datetime,BookRestaurant,O O O B-party_size_number O O O O B-location B-location I-location O B-datetime I-datetime I-datetime
test_497,SearchCreativeWork,O B-object_type I-object_type B-object_name I-object_name I-object_name,SearchCreativeWork,O B-object_name I-object_type B-object_name I-object_name
test_496,AddToPlaylist,O O B-music_item O B-playlist I-playlist I-playlist I-playlist I-playlist I-playlist,AddToPlaylist,O O B-music_item O B-playlist I-playlist I-playlist I-playlist I-playlist I-playlist
test_495,BookRestaurant,O O O B-restaurant_name I-restaurant_name O B-location O B-location O B-location I-location,BookRestaurant,O O O B-location I-location O B-location B-location O B-location I-location
test_494,BookRestaurant,O B-sort B-restaurant_type O B-party_size_number O,BookRestaurant,O O B-restaurant_type O B-party_size_number O
test_493,BookRestaurant,O O O B-party_size_description I-party_size_description I-party_size_description O B-restaurant_type O B-datetime I-datetime I-datetime,BookRestaurant,O O O B-party_size_description I-party_size_description I-party_size_description O O O B-datetime I-datetime I-datetime
test_492,SearchCreativeWork,O B-object_type B-object_name I-object_name I-object_name,SearchCreativeWork,O O B-object_name I-object_name I-object_name
test_491,SearchCreativeWork,O O B-object_type I-object_type O O B-object_name I-object_name,SearchCreativeWork,O O B-object_type I-object_type O O B-object_name I-object_name
test_490,RateBook,O B-object_name I-object_name B-rating_value B-rating_unit,RateBook,O B-object_name I-object_name B-rating_value B-rating_unit
test_489,PlayMusic,O O O B-music_item O B-artist,PlayMusic,O O O O O B-artist
test_488,AddToPlaylist,O O B-playlist I-playlist O O O O O B-music_item B-artist I-artist O,AddToPlaylist,O B-playlist I-playlist O O O B-music_item B-artist I-artist
test_487,SearchCreativeWork,O O O B-object_type I-object_type B-object_name I-object_name O,SearchCreativeWork,O O O B-object_name I-object_name I-reminder/todo I-object_name
test_486,AddToPlaylist,O B-music_item O B-playlist I-playlist I-playlist I-playlist,AddToPlaylist,O B-music_item O B-playlist I-playlist I-playlist I-playlist
test_485,AddToPlaylist,O B-entity_name I-entity_name O B-reference O B-playlist,AddToPlaylist,O B-artist I-artist I-artist O B-reference O B-playlist
test_484,weather/find,O O B-location B-condition_description O B-datetime I-datetime,weather/find,O O B-location B-weather/attribute O B-datetime I-datetime
test_483,SearchCreativeWork,O O O O B-object_name I-object_name I-object_name I-object_name O,SearchScreeningEvent,O O O B-movie_name I-movie_name O I-movie_name
test_482,SearchScreeningEvent,O O B-movie_name I-movie_name I-movie_name O B-location,SearchScreeningEvent,O O B-movie_name I-movie_name I-movie_name O B-location
test_481,PlayMusic,O B-genre I-genre O,PlayMusic,O B-playlist I-playlist
test_480,SearchScreeningEvent,O B-object_type I-object_type O B-location I-location,SearchScreeningEvent,O B-object_type I-object_type O B-location I-location
test_479,weather/find,O O O B-location O B-location,weather/find,O O O B-location O B-location
test_478,SearchScreeningEvent,O B-object_type I-object_type O B-location I-location I-location O,SearchScreeningEvent,O B-object_type I-object_type O B-movie_name I-movie_name I-movie_name
test_477,weather/find,O O O B-location O B-datetime I-datetime I-datetime,weather/find,O O O B-location O B-datetime I-datetime I-datetime
test_476,BookRestaurant,O O O O O B-restaurant_name O B-location O,BookRestaurant,O O O O O B-restaurant_type O B-location
test_475,SearchScreeningEvent,O B-movie_type O B-location,SearchScreeningEvent,O B-movie_type O B-location
test_474,SearchScreeningEvent,O O B-object_type B-movie_name O B-object_location_type O,SearchScreeningEvent,O O O B-movie_name O O
test_473,RateBook,O B-object_select B-object_type O B-rating_value O B-best_rating,RateBook,O O B-object_type O B-rating_value I-datetime
test_472,AddToPlaylist,O B-artist O B-reference O B-playlist I-playlist,AddToPlaylist,O B-artist O B-reference O B-playlist I-playlist
test_471,RateBook,O B-object_name I-object_name I-object_name O B-rating_value O B-best_rating O,RateBook,O B-object_name I-object_name I-object_name O B-rating_value O B-best_rating
test_470,SearchScreeningEvent,O O B-movie_name I-movie_name O B-location B-object_location_type O B-datetime O,SearchScreeningEvent,O O B-movie_name I-movie_name O B-location O O B-datetime
test_469,RateBook,O B-object_select B-object_type O B-rating_value O,RateBook,O B-object_select B-object_type O B-rating_value B-rating_unit
test_468,SearchCreativeWork,O O B-object_type O O B-object_name I-object_name O,SearchCreativeWork,O O B-object_type O O B-object_name I-object_name
test_467,AddToPlaylist,O B-entity_name O B-reference O B-playlist,AddToPlaylist,O B-entity_name O B-reference O B-playlist
test_466,AddToPlaylist,O B-music_item B-artist O O B-playlist I-playlist I-playlist,AddToPlaylist,O O B-entity_name O O B-playlist I-playlist I-playlist
test_465,SearchScreeningEvent,O O B-movie_type I-movie_type B-location I-location I-location,SearchScreeningEvent,O O B-movie_name I-movie_name B-movie_name I-movie_name I-movie_name
test_464,RateBook,O B-rating_value B-rating_unit O B-best_rating B-object_name I-object_name I-object_name I-object_name I-object_name,RateBook,O B-rating_value B-rating_unit B-best_rating B-object_name I-object_name I-object_name I-object_name I-object_name
test_463,SearchCreativeWork,O O O B-object_type B-object_name I-object_name O,reminder/show_reminders,O O O O O B-datetime
test_462,PlayMusic,O O O B-playlist I-playlist I-playlist,PlayMusic,O O O O O B-genre O B-datetime
test_461,AddToPlaylist,O O B-music_item O B-reference O B-playlist I-playlist,AddToPlaylist,O O B-music_item O B-reference O B-playlist I-playlist
test_460,BookRestaurant,O O O B-party_size_number,BookRestaurant,O O O B-datetime
test_459,SearchScreeningEvent,O O O B-movie_name I-movie_name B-datetime I-datetime I-datetime,SearchScreeningEvent,O O O B-movie_name I-object_name I-object_name I-movie_name B-datetime
test_458,BookRestaurant,O O O B-restaurant_type B-location O B-location O,BookRestaurant,O O O B-served_dish B-restaurant_type B-location O B-location
test_457,AddToPlaylist,O B-music_item B-artist I-artist O O B-playlist I-playlist,AddToPlaylist,O O B-artist I-artist O O B-playlist I-playlist
test_456,BookRestaurant,O O O O B-location,BookRestaurant,O O O B-served_dish
test_455,SearchCreativeWork,O O B-object_type B-object_name I-object_name I-object_name O,SearchScreeningEvent,O O O O O O
test_454,weather/find,O O B-condition_description O B-location O,weather/find,O O B-weather/attribute O
