id,intents_gold,slots_gold,intents_pred,slots_pred
test_366_1,weather/find,O O B-condition_temperature O B-location B-datetime I-datetime O,weather/find,O O B-condition_temperature O B-location B-datetime I-datetime O
test_269_1,BookRestaurant,O O O B-cuisine B-restaurant_type O B-location O,BookRestaurant,O O O B-cuisine B-restaurant_type O B-location O
test_212_1,weather/find,O B-datetime O O B-location,weather/find,O B-datetime O O B-location
test_366_2,weather/find,O O B-condition_temperature O B-location B-datetime I-datetime O,weather/find,O O B-condition_temperature O B-location B-datetime I-datetime O
test_321_1,weather/find,O O O O B-datetime O B-location O,weather/find,O O O B-datetime B-datetime O B-location O
test_442_1,weather/find,O O O O B-location B-datetime I-datetime O,weather/find,O O O O B-location B-datetime I-datetime O
test_372_1,weather/find,O O O O B-location O,weather/find,O O O O O
test_310_1,weather/find,O O B-condition_temperature I-condition_temperature O O B-location,weather/find,O O O B-condition_temperature O O B-location
test_274_1,BookRestaurant,O O O B-restaurant_type O B-party_size_description I-party_size_description I-party_size_description O B-location O B-datetime I-datetime O,BookRestaurant,O O O B-restaurant_type O O O B-served_dish O B-location O B-datetime I-datetime O
test_442_2,weather/find,O O O O B-location B-datetime I-datetime O,weather/find,O O O O B-location B-datetime I-datetime O
test_321_2,weather/find,O O O O B-datetime O B-location O,weather/find,O O O B-datetime I-datetime O B-location O
test_399_1,BookRestaurant,O O O O O O B-party_size_number O O B-restaurant_type O B-location,BookRestaurant,O O O O B-restaurant_type O B-party_size_number O O O O B-location
test_399_2,BookRestaurant,O O O O O O B-party_size_number O O B-restaurant_type O B-location,BookRestaurant,O O O O B-restaurant_type O B-party_size_number O O O O B-location
test_269_2,BookRestaurant,O O O B-cuisine B-restaurant_type O B-location O,BookRestaurant,O O O B-cuisine B-restaurant_type O B-location O
test_366_3,weather/find,O O B-condition_temperature O B-location B-datetime I-datetime O,weather/find,O O B-condition_temperature O B-location B-datetime I-datetime O
test_259_1,weather/find,O O B-condition_description B-datetime O B-location O,weather/find,O O B-condition_description B-datetime O B-location O
test_310_2,weather/find,O O B-condition_temperature I-condition_temperature O O B-location,weather/find,O O O B-condition_temperature O O B-location
test_273_1,weather/find,O O B-location B-location O B-datetime,weather/find,O O O B-location O B-datetime
test_366_4,weather/find,O O B-condition_temperature O B-location B-datetime I-datetime O,weather/find,O O B-condition_temperature O B-location B-datetime I-datetime O
test_402_1,weather/find,O B-condition_temperature O B-location O B-location O B-datetime I-datetime I-datetime O,weather/find,O B-condition_temperature O B-location O B-location O B-datetime I-datetime I-datetime O
test_210_1,weather/find,O O B-datetime B-weather/attribute O B-location O,weather/find,O O B-datetime B-condition_description O O
test_165_1,weather/find,O O O B-datetime O B-location,weather/find,O O O B-datetime O B-location
test_366_5,weather/find,O O B-condition_temperature O B-location B-datetime I-datetime O,weather/find,O O B-condition_temperature O B-location B-datetime I-datetime O
test_416_1,BookRestaurant,O O O B-restaurant_type O B-party_size_number O O B-location O,BookRestaurant,O O O B-restaurant_type O B-party_size_number O O B-location O
test_399_3,BookRestaurant,O O O O O O B-party_size_number O O B-restaurant_type O B-location,BookRestaurant,O O O O B-restaurant_type O B-party_size_number O O O O B-location
test_399_4,BookRestaurant,O O O O O O B-party_size_number O O B-restaurant_type O B-location,BookRestaurant,O O O O B-restaurant_type O B-party_size_number O O O O B-location
test_310_3,weather/find,O O B-condition_temperature I-condition_temperature O O B-location,weather/find,O O O B-condition_temperature O O B-location
test_399_5,BookRestaurant,O O O O O O B-party_size_number O O B-restaurant_type O B-location,BookRestaurant,O O O O B-restaurant_type O B-party_size_number O O O O B-location
test_372_2,weather/find,O O O O B-location O,weather/find,O O O O O
test_313_1,weather/find,O B-datetime I-datetime I-datetime O B-location,weather/find,O B-datetime I-datetime I-datetime O B-location
test_210_2,weather/find,O O B-datetime B-weather/attribute O B-location O,weather/find,O O B-datetime B-condition_description O O
test_402_2,weather/find,O B-condition_temperature O B-location O B-location O B-datetime I-datetime I-datetime O,weather/find,O B-condition_temperature O B-location O B-location O B-datetime I-datetime I-datetime O
test_212_2,weather/find,O B-datetime O O B-location,weather/find,O B-datetime O O B-location
test_372_3,weather/find,O O O O B-location O,weather/find,O O O O O
test_366_6,weather/find,O O B-condition_temperature O B-location B-datetime I-datetime O,weather/find,O O B-condition_temperature O B-location B-datetime I-datetime O
test_321_3,weather/find,O O O O B-datetime O B-location O,weather/find,O O O B-datetime I-datetime O B-location O
test_360_1,weather/find,O O O O B-location B-location B-datetime I-datetime O,weather/find,O O O O O B-location B-datetime I-datetime O
test_269_3,BookRestaurant,O O O B-cuisine B-restaurant_type O B-location O,BookRestaurant,O O O B-cuisine B-restaurant_type O B-location O
test_212_3,weather/find,O B-datetime O O B-location,weather/find,O B-datetime O O B-location
test_372_4,weather/find,O O O O B-location O,weather/find,O O O O O
